Subject,StartTime,EndTime,Condition,Code,Duration
1116,2022-02-04 05:53:36am,2022-02-04 06:14:10am,climate,35298253,20.566666666667
1102,2022-02-04 05:57:24am,2022-02-04 06:14:34am,climate,13972701,17.166666666667
1074,2022-02-04 05:55:31am,2022-02-04 06:14:36am,climate,47041632,19.083333333333
1171,2022-02-04 06:04:41am,2022-02-04 06:14:43am,climate,03406961,10.033333333333
972,2022-02-04 05:47:17am,2022-02-04 06:14:54am,climate,41771161,27.616666666667
1135,2022-02-04 06:01:06am,2022-02-04 06:15:11am,climate,67261846,14.083333333333
1194,2022-02-04 06:09:11am,2022-02-04 06:15:12am,climate,69529533,6.0166666666667
1165,2022-02-04 06:05:29am,2022-02-04 06:15:14am,climate,74774856,9.75
1185,2022-02-04 06:08:02am,2022-02-04 06:15:21am,climate,17893776,7.3166666666667
1193,2022-02-04 06:10:10am,2022-02-04 06:15:26am,climate,08009846,5.2666666666667
1157,2022-02-04 06:03:39am,2022-02-04 06:15:27am,climate,79981361,11.8
1101,2022-02-04 05:57:05am,2022-02-04 06:15:28am,climate,55857491,18.383333333333
1077,2022-02-04 05:55:38am,2022-02-04 06:15:28am,climate,77941913,19.833333333333
1124,2022-02-04 06:00:07am,2022-02-04 06:16:10am,climate,95308160,16.05
1178,2022-02-04 06:08:39am,2022-02-04 06:17:01am,climate,77048429,8.3666666666667
1126,2022-02-04 06:00:52am,2022-02-04 06:17:10am,climate,74716785,16.3
1040,2022-02-04 05:52:37am,2022-02-04 06:17:12am,climate,92495331,24.583333333333
1179,2022-02-04 05:51:47am,2022-02-04 06:17:12am,climate,92065941,25.416666666667
1181,2022-02-04 06:09:06am,2022-02-04 06:17:16am,climate,80470019,8.1666666666667
1018,2022-02-04 05:50:00am,2022-02-04 06:17:17am,climate,46048097,27.283333333333
1129,2022-02-04 06:01:05am,2022-02-04 06:17:17am,climate,66165958,16.2
1196,2022-02-04 06:11:07am,2022-02-04 06:17:21am,climate,66546752,6.2333333333333
1202,2022-02-04 06:11:51am,2022-02-04 06:17:58am,climate,79750997,6.1166666666667
1187,2022-02-04 06:09:38am,2022-02-04 06:18:00am,climate,87969448,8.3666666666667
1180,2022-02-04 06:09:00am,2022-02-04 06:18:03am,climate,17275605,9.05
1063,2022-02-04 05:50:16am,2022-02-04 06:18:11am,climate,34436793,27.916666666667
1173,2022-02-04 06:07:50am,2022-02-04 06:18:16am,climate,63004678,10.433333333333
1206,2022-02-04 06:13:28am,2022-02-04 06:18:35am,climate,04657849,5.1166666666667
1099,2022-02-04 05:56:53am,2022-02-04 06:18:43am,climate,51208989,21.833333333333
1163,2022-02-04 06:05:09am,2022-02-04 06:18:44am,climate,62199934,13.583333333333
1188,2022-02-04 06:09:25am,2022-02-04 06:19:01am,climate,30745598,9.6
1218,2022-02-04 06:15:47am,2022-02-04 06:19:13am,climate,42572190,3.4333333333333
1170,2022-02-04 06:06:59am,2022-02-04 06:19:17am,climate,65452838,12.3
1191,2022-02-04 06:10:29am,2022-02-04 06:19:54am,climate,23850649,9.4166666666667
1192,2022-02-04 06:10:20am,2022-02-04 06:20:01am,climate,84136976,9.6833333333333
1136,2022-02-04 06:01:10am,2022-02-04 06:20:55am,climate,09126748,19.75
1213,2022-02-04 06:14:58am,2022-02-04 06:20:57am,climate,97113151,5.9833333333333
1207,2022-02-04 06:13:57am,2022-02-04 06:20:58am,climate,71682417,7.0166666666667
1029,2022-02-04 05:49:58am,2022-02-04 06:21:28am,climate,22889280,31.5
1058,2022-02-04 05:54:16am,2022-02-04 06:21:38am,climate,91161893,27.366666666667
1198,2022-02-04 06:11:17am,2022-02-04 06:21:48am,climate,99186419,10.516666666667
1182,2022-02-04 06:09:02am,2022-02-04 06:22:21am,climate,68086510,13.316666666667
1217,2022-02-04 06:15:50am,2022-02-04 06:22:43am,climate,94689273,6.8833333333333
978,2022-02-04 05:47:27am,2022-02-04 06:22:50am,climate,89752609,35.383333333333
1216,2022-02-04 06:15:52am,2022-02-04 06:23:08am,climate,75669446,7.2666666666667
1223,2022-02-04 06:16:51am,2022-02-04 06:23:43am,climate,48469350,6.8666666666667
1209,NA,2022-02-04 06:23:48am,climate,74359746,27399743.8
1242,2022-02-04 06:20:52am,2022-02-04 06:24:09am,climate,02423471,3.2833333333333
1238,2022-02-04 06:19:15am,2022-02-04 06:24:09am,climate,50405403,4.9
1134,2022-02-04 06:01:51am,2022-02-04 06:24:28am,climate,94836544,22.616666666667
1139,2022-02-04 06:01:33am,2022-02-04 06:24:35am,climate,53240106,23.033333333333
1241,2022-02-04 06:19:49am,2022-02-04 06:25:04am,climate,47728610,5.25
1203,2022-02-04 06:11:49am,2022-02-04 06:25:06am,climate,80613442,13.283333333333
1190,2022-02-04 06:09:52am,2022-02-04 06:25:06am,climate,34362845,15.233333333333
1162,2022-02-04 06:05:44am,2022-02-04 06:25:08am,climate,09104936,19.4
1210,2022-02-04 06:13:30am,2022-02-04 06:25:20am,climate,00249384,11.833333333333
1232,2022-02-04 06:18:21am,2022-02-04 06:25:25am,climate,71039993,7.0666666666667
1114,2022-02-04 05:58:37am,2022-02-04 06:25:45am,climate,81982812,27.133333333333
1204,2022-02-04 06:11:50am,2022-02-04 06:25:53am,climate,30209710,14.05
1167,2022-02-04 06:06:42am,2022-02-04 06:25:56am,climate,62081455,19.233333333333
1195,2022-02-04 06:10:26am,2022-02-04 06:26:08am,climate,29849892,15.7
1166,2022-02-04 06:05:41am,2022-02-04 06:27:08am,climate,79595582,21.45
1111,2022-02-04 05:58:13am,2022-02-04 06:27:16am,climate,27044855,29.05
1146,2022-02-04 06:03:03am,2022-02-04 06:27:21am,climate,34160189,24.3
1205,2022-02-04 06:12:30am,2022-02-04 06:27:47am,climate,18653752,15.283333333333
1246,2022-02-04 06:22:04am,2022-02-04 06:28:29am,climate,47503802,6.4166666666667
1248,2022-02-04 06:16:24am,2022-02-04 06:28:29am,climate,50699376,12.083333333333
1249,2022-02-04 06:23:10am,2022-02-04 06:28:33am,climate,13615631,5.3833333333333
1153,2022-02-04 06:03:53am,2022-02-04 06:28:49am,climate,58459723,24.933333333333
1254,2022-02-04 06:24:27am,2022-02-04 06:29:00am,climate,68777707,4.55
1243,2022-02-04 06:20:43am,2022-02-04 06:29:07am,climate,86416373,8.4
1184,2022-02-04 06:09:22am,2022-02-04 06:29:32am,climate,03558979,20.166666666667
1177,2022-02-04 06:07:54am,2022-02-04 06:30:08am,climate,78861248,22.233333333333
1199,2022-02-04 06:10:54am,2022-02-04 06:30:28am,climate,90779875,19.566666666667
1253,2022-02-04 06:24:23am,2022-02-04 06:31:56am,climate,81433125,7.55
1200,2022-02-04 06:11:19am,2022-02-04 06:33:04am,climate,08619791,21.75
