Subject,StartTime,EndTime,Condition,Code,Duration
2230,2022-02-04 06:06:42am,2022-02-04 06:08:58am,neutral,48628834,2.2666666666667
2196,2022-02-04 05:59:23am,2022-02-04 06:09:11am,neutral,89660862,9.8
2177,2022-02-04 05:56:58am,2022-02-04 06:09:31am,neutral,31213356,12.55
2201,2022-02-04 06:00:38am,2022-02-04 06:09:34am,neutral,02140438,8.9333333333333
2223,2022-02-04 05:57:36am,2022-02-04 06:09:47am,neutral,52555567,12.183333333333
2041,2022-02-04 05:45:31am,2022-02-04 06:09:52am,neutral,37171225,24.35
2212,2022-02-04 06:03:12am,2022-02-04 06:11:33am,neutral,70245123,8.35
2172,2022-02-04 05:55:32am,2022-02-04 06:11:47am,neutral,30161984,16.25
2220,2022-02-04 06:04:37am,2022-02-04 06:12:06am,neutral,94329476,7.4833333333333
2188,2022-02-04 05:56:15am,2022-02-04 06:12:13am,neutral,30920315,15.966666666667
2106,2022-02-04 05:50:04am,2022-02-04 06:12:23am,neutral,27121944,22.316666666667
2242,2022-02-04 06:07:32am,2022-02-04 06:12:38am,neutral,04558374,5.1
2214,2022-02-04 06:03:24am,2022-02-04 06:12:40am,neutral,17857241,9.2666666666667
2203,2022-02-04 06:00:43am,2022-02-04 06:12:48am,neutral,61626779,12.083333333333
2146,2022-02-04 05:53:18am,2022-02-04 06:12:48am,neutral,87859011,19.5
2239,2022-02-04 06:08:55am,2022-02-04 06:13:25am,neutral,06632794,4.5
2121,2022-02-04 05:50:48am,2022-02-04 06:13:31am,neutral,34418465,22.716666666667
2237,2022-02-04 06:08:22am,2022-02-04 06:13:31am,neutral,42906977,5.15
2194,2022-02-04 05:55:26am,2022-02-04 06:14:03am,neutral,52014420,18.616666666667
2058,2022-02-04 05:46:43am,2022-02-04 06:14:11am,neutral,93895698,27.466666666667
2248,2022-02-04 06:10:16am,2022-02-04 06:14:25am,neutral,40164399,4.15
2111,2022-02-04 05:49:08am,2022-02-04 06:14:27am,neutral,99695406,25.316666666667
2244,2022-02-04 06:09:20am,2022-02-04 06:14:59am,neutral,18263438,5.65
2219,2022-02-04 06:04:01am,2022-02-04 06:15:44am,neutral,99565856,11.716666666667
2152,2022-02-04 05:53:36am,2022-02-04 06:15:54am,neutral,99083777,22.3
2195,2022-02-04 05:58:53am,2022-02-04 06:16:12am,neutral,89678657,17.316666666667
2228,2022-02-04 06:06:31am,2022-02-04 06:16:14am,neutral,55850696,9.7166666666667
2251,2022-02-04 06:10:36am,2022-02-04 06:16:21am,neutral,57933468,5.75
2189,2022-02-04 05:57:11am,2022-02-04 06:16:29am,neutral,18924761,19.3
2269,2022-02-04 06:11:44am,2022-02-04 06:16:36am,neutral,15516102,4.8666666666667
2068,2022-02-04 05:44:55am,2022-02-04 06:16:55am,neutral,75884633,32
2253,2022-02-04 06:10:32am,2022-02-04 06:17:32am,neutral,83272151,7
2266,2022-02-04 06:10:57am,2022-02-04 06:17:50am,neutral,45014291,6.8833333333333
2227,2022-02-04 06:05:50am,2022-02-04 06:17:54am,neutral,65940274,12.066666666667
2202,2022-02-04 06:00:42am,2022-02-04 06:17:59am,neutral,56986976,17.283333333333
2246,2022-02-04 06:09:18am,2022-02-04 06:18:03am,neutral,11054826,8.75
2274,2022-02-04 06:13:51am,2022-02-04 06:18:32am,neutral,46179693,4.6833333333333
2215,2022-02-04 06:03:16am,2022-02-04 06:18:32am,neutral,10918431,15.266666666667
2240,2022-02-04 06:08:56am,2022-02-04 06:18:32am,neutral,22591585,9.6
